question,answer
In which region is Ghevar popular?,West
What is the flavor profile of Ghevar?,sweet
How does Ghevar taste?,sweet
What flavor does Ghevar have?,sweet
What is the food category of Ghevar?,dessert
In which course is Ghevar typically served?,dessert
Is Ghevar a main dish or a side dish?,dessert
What ingredients are needed to prepare Gulab jamun?,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water"
What are the required ingredients to make Gulab jamun?,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water"
What is Gulab jamun made of?,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water"
What is the dietary type of Gulab jamun?,vegetarian
Is Gulab jamun vegetarian or non-vegetarian?,vegetarian
What diet category does Gulab jamun belong to?,vegetarian
How long does it take to prepare Gulab jamun?,15 minutes
What is the preparation time for Gulab jamun?,15 minutes
How many minutes does it take to prepare Gulab jamun?,15 minutes
How long does it take to cook Gulab jamun?,40 minutes
What is the cooking time for Gulab jamun?,40 minutes
How many minutes does it take to cook Gulab jamun?,40 minutes
What is the origin of Gulab jamun?,West Bengal
In which state was Gulab jamun created?,West Bengal
Which state does Gulab jamun belong to?,West Bengal
In which region is Gulab jamun prepared?,East
What region does Gulab jamun belong to?,East
In which region is Gulab jamun popular?,East
What is the flavor profile of Gulab jamun?,sweet
How does Gulab jamun taste?,sweet
What flavor does Gulab jamun have?,sweet
What is the food category of Gulab jamun?,dessert
In which course is Gulab jamun typically served?,dessert
Is Gulab jamun a main dish or a side dish?,dessert
What ingredients are needed to prepare Imarti?,"Sugar syrup, lentil flour"
What are the required ingredients to make Imarti?,"Sugar syrup, lentil flour"
What is Imarti made of?,"Sugar syrup, lentil flour"
What is the dietary type of Imarti?,vegetarian
Is Imarti vegetarian or non-vegetarian?,vegetarian
What diet category does Imarti belong to?,vegetarian
How long does it take to prepare Imarti?,10 minutes
What is the preparation time for Imarti?,10 minutes
How many minutes does it take to prepare Imarti?,10 minutes
How long does it take to cook Imarti?,50 minutes
What is the cooking time for Imarti?,50 minutes
How many minutes does it take to cook Imarti?,50 minutes
What is the origin of Imarti?,West Bengal
In which state was Imarti created?,West Bengal
Which state does Imarti belong to?,West Bengal
In which region is Imarti prepared?,East
What region does Imarti belong to?,East
In which region is Imarti popular?,East
What is the flavor profile of Imarti?,sweet
How does Imarti taste?,sweet
What flavor does Imarti have?,sweet
What is the food category of Imarti?,dessert
In which course is Imarti typically served?,dessert
Is Imarti a main dish or a side dish?,dessert
What ingredients are needed to prepare Jalebi?,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom"
What are the required ingredients to make Jalebi?,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom"
What is Jalebi made of?,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom"
What is the dietary type of Jalebi?,vegetarian
Is Jalebi vegetarian or non-vegetarian?,vegetarian
What diet category does Jalebi belong to?,vegetarian
How long does it take to prepare Jalebi?,10 minutes
What is the preparation time for Jalebi?,10 minutes
How many minutes does it take to prepare Jalebi?,10 minutes
How long does it take to cook Jalebi?,50 minutes
What is the cooking time for Jalebi?,50 minutes
How many minutes does it take to cook Jalebi?,50 minutes
What is the origin of Jalebi?,Uttar Pradesh
In which state was Jalebi created?,Uttar Pradesh
Which state does Jalebi belong to?,Uttar Pradesh
In which region is Jalebi prepared?,North
What region does Jalebi belong to?,North
In which region is Jalebi popular?,North
What is the flavor profile of Jalebi?,sweet
How does Jalebi taste?,sweet
What flavor does Jalebi have?,sweet
What is the food category of Jalebi?,dessert
In which course is Jalebi typically served?,dessert
Is Jalebi a main dish or a side dish?,dessert
What ingredients are needed to prepare Kaju katli?,"Cashews, ghee, cardamom, sugar"
What are the required ingredients to make Kaju katli?,"Cashews, ghee, cardamom, sugar"
What is Kaju katli made of?,"Cashews, ghee, cardamom, sugar"
What is the dietary type of Kaju katli?,vegetarian
Is Kaju katli vegetarian or non-vegetarian?,vegetarian
What diet category does Kaju katli belong to?,vegetarian
How long does it take to prepare Kaju katli?,10 minutes
What is the preparation time for Kaju katli?,10 minutes
How many minutes does it take to prepare Kaju katli?,10 minutes
How long does it take to cook Kaju katli?,20 minutes
What is the cooking time for Kaju katli?,20 minutes
How many minutes does it take to cook Kaju katli?,20 minutes
What is the origin of Kaju katli?,-1
In which state was Kaju katli created?,-1
Which state does Kaju katli belong to?,-1
In which region is Kaju katli prepared?,-1
What region does Kaju katli belong to?,-1
In which region is Kaju katli popular?,-1
What is the flavor profile of Kaju katli?,sweet
How does Kaju katli taste?,sweet
What flavor does Kaju katli have?,sweet
What is the food category of Kaju katli?,dessert
In which course is Kaju katli typically served?,dessert
Is Kaju katli a main dish or a side dish?,dessert
What ingredients are needed to prepare Kalakand?,"Milk, cottage cheese, sugar"
What are the required ingredients to make Kalakand?,"Milk, cottage cheese, sugar"
What is Kalakand made of?,"Milk, cottage cheese, sugar"
What is the dietary type of Kalakand?,vegetarian
Is Kalakand vegetarian or non-vegetarian?,vegetarian
What diet category does Kalakand belong to?,vegetarian
How long does it take to prepare Kalakand?,20 minutes
What is the preparation time for Kalakand?,20 minutes
How many minutes does it take to prepare Kalakand?,20 minutes
How long does it take to cook Kalakand?,30 minutes
What is the cooking time for Kalakand?,30 minutes
How many minutes does it take to cook Kalakand?,30 minutes
What is the origin of Kalakand?,West Bengal
In which state was Kalakand created?,West Bengal
Which state does Kalakand belong to?,West Bengal
In which region is Kalakand prepared?,East
What region does Kalakand belong to?,East
In which region is Kalakand popular?,East
What is the flavor profile of Kalakand?,sweet
How does Kalakand taste?,sweet
What flavor does Kalakand have?,sweet
What is the food category of Kalakand?,dessert
In which course is Kalakand typically served?,dessert
Is Kalakand a main dish or a side dish?,dessert
What ingredients are needed to prepare Kheer?,"Milk, rice, sugar, dried fruits"
What are the required ingredients to make Kheer?,"Milk, rice, sugar, dried fruits"
What is Kheer made of?,"Milk, rice, sugar, dried fruits"
What is the dietary type of Kheer?,vegetarian
Is Kheer vegetarian or non-vegetarian?,vegetarian
What diet category does Kheer belong to?,vegetarian
How long does it take to prepare Kheer?,10 minutes
What is the preparation time for Kheer?,10 minutes
How many minutes does it take to prepare Kheer?,10 minutes
How long does it take to cook Kheer?,40 minutes
What is the cooking time for Kheer?,40 minutes
How many minutes does it take to cook Kheer?,40 minutes
What is the origin of Kheer?,-1
In which state was Kheer created?,-1
Which state does Kheer belong to?,-1
In which region is Kheer prepared?,-1
What region does Kheer belong to?,-1
In which region is Kheer popular?,-1
What is the flavor profile of Kheer?,sweet
How does Kheer taste?,sweet
What flavor does Kheer have?,sweet
What is the food category of Kheer?,dessert
In which course is Kheer typically served?,dessert
Is Kheer a main dish or a side dish?,dessert
What ingredients are needed to prepare Laddu?,"Gram flour, ghee, sugar"
What are the required ingredients to make Laddu?,"Gram flour, ghee, sugar"
What is Laddu made of?,"Gram flour, ghee, sugar"
What is the dietary type of Laddu?,vegetarian
Is Laddu vegetarian or non-vegetarian?,vegetarian
What diet category does Laddu belong to?,vegetarian
How long does it take to prepare Laddu?,10 minutes
What is the preparation time for Laddu?,10 minutes
How many minutes does it take to prepare Laddu?,10 minutes
How long does it take to cook Laddu?,40 minutes
What is the cooking time for Laddu?,40 minutes
How many minutes does it take to cook Laddu?,40 minutes
What is the origin of Laddu?,-1
In which state was Laddu created?,-1
Which state does Laddu belong to?,-1
In which region is Laddu prepared?,-1
What region does Laddu belong to?,-1
In which region is Laddu popular?,-1
What is the flavor profile of Laddu?,sweet
How does Laddu taste?,sweet
What flavor does Laddu have?,sweet
What is the food category of Laddu?,dessert
In which course is Laddu typically served?,dessert
Is Laddu a main dish or a side dish?,dessert
What ingredients are needed to prepare Lassi?,"Yogurt, milk, nuts, sugar"
What are the required ingredients to make Lassi?,"Yogurt, milk, nuts, sugar"
What is Lassi made of?,"Yogurt, milk, nuts, sugar"
What is the dietary type of Lassi?,vegetarian
Is Lassi vegetarian or non-vegetarian?,vegetarian
What diet category does Lassi belong to?,vegetarian
How long does it take to prepare Lassi?,5 minutes
What is the preparation time for Lassi?,5 minutes
How many minutes does it take to prepare Lassi?,5 minutes
How long does it take to cook Lassi?,5 minutes
What is the cooking time for Lassi?,5 minutes
How many minutes does it take to cook Lassi?,5 minutes
What is the origin of Lassi?,Punjab
In which state was Lassi created?,Punjab
Which state does Lassi belong to?,Punjab
In which region is Lassi prepared?,North
What region does Lassi belong to?,North
In which region is Lassi popular?,North
What is the flavor profile of Lassi?,sweet
How does Lassi taste?,sweet
What flavor does Lassi have?,sweet
What is the food category of Lassi?,dessert
In which course is Lassi typically served?,dessert
Is Lassi a main dish or a side dish?,dessert
What ingredients are needed to prepare Nankhatai?,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom"
What are the required ingredients to make Nankhatai?,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom"
What is Nankhatai made of?,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom"
What is the dietary type of Nankhatai?,vegetarian
Is Nankhatai vegetarian or non-vegetarian?,vegetarian
What diet category does Nankhatai belong to?,vegetarian
How long does it take to prepare Nankhatai?,20 minutes
What is the preparation time for Nankhatai?,20 minutes
How many minutes does it take to prepare Nankhatai?,20 minutes
How long does it take to cook Nankhatai?,30 minutes
What is the cooking time for Nankhatai?,30 minutes
How many minutes does it take to cook Nankhatai?,30 minutes
What is the origin of Nankhatai?,-1
In which state was Nankhatai created?,-1
Which state does Nankhatai belong to?,-1
In which region is Nankhatai prepared?,-1
What region does Nankhatai belong to?,-1
In which region is Nankhatai popular?,-1
What is the flavor profile of Nankhatai?,sweet
How does Nankhatai taste?,sweet
What flavor does Nankhatai have?,sweet
What is the food category of Nankhatai?,dessert
In which course is Nankhatai typically served?,dessert
Is Nankhatai a main dish or a side dish?,dessert
What ingredients are needed to prepare Petha?,"Firm white pumpkin, sugar, kitchen lime, alum powder"
What are the required ingredients to make Petha?,"Firm white pumpkin, sugar, kitchen lime, alum powder"
What is Petha made of?,"Firm white pumpkin, sugar, kitchen lime, alum powder"
What is the dietary type of Petha?,vegetarian
Is Petha vegetarian or non-vegetarian?,vegetarian
What diet category does Petha belong to?,vegetarian
How long does it take to prepare Petha?,10 minutes
What is the preparation time for Petha?,10 minutes
How many minutes does it take to prepare Petha?,10 minutes
How long does it take to cook Petha?,30 minutes
What is the cooking time for Petha?,30 minutes
How many minutes does it take to cook Petha?,30 minutes
What is the origin of Petha?,Uttar Pradesh
In which state was Petha created?,Uttar Pradesh
Which state does Petha belong to?,Uttar Pradesh
In which region is Petha prepared?,North
What region does Petha belong to?,North
In which region is Petha popular?,North
What is the flavor profile of Petha?,sweet
How does Petha taste?,sweet
What flavor does Petha have?,sweet
What is the food category of Petha?,dessert
In which course is Petha typically served?,dessert
Is Petha a main dish or a side dish?,dessert
What ingredients are needed to prepare Phirni?,"Rice, sugar, nuts"
What are the required ingredients to make Phirni?,"Rice, sugar, nuts"
What is Phirni made of?,"Rice, sugar, nuts"
What is the dietary type of Phirni?,vegetarian
Is Phirni vegetarian or non-vegetarian?,vegetarian
What diet category does Phirni belong to?,vegetarian
How long does it take to prepare Phirni?,30 minutes
What is the preparation time for Phirni?,30 minutes
How many minutes does it take to prepare Phirni?,30 minutes
How long does it take to cook Phirni?,20 minutes
What is the cooking time for Phirni?,20 minutes
How many minutes does it take to cook Phirni?,20 minutes
What is the origin of Phirni?,Odisha
In which state was Phirni created?,Odisha
Which state does Phirni belong to?,Odisha
In which region is Phirni prepared?,East
What region does Phirni belong to?,East
In which region is Phirni popular?,East
What is the flavor profile of Phirni?,sweet
How does Phirni taste?,sweet
What flavor does Phirni have?,sweet
What is the food category of Phirni?,dessert
In which course is Phirni typically served?,dessert
Is Phirni a main dish or a side dish?,dessert
What ingredients are needed to prepare Rabri?,"Condensed milk, sugar, spices, nuts"
What are the required ingredients to make Rabri?,"Condensed milk, sugar, spices, nuts"
What is Rabri made of?,"Condensed milk, sugar, spices, nuts"
What is the dietary type of Rabri?,vegetarian
Is Rabri vegetarian or non-vegetarian?,vegetarian
What diet category does Rabri belong to?,vegetarian
How long does it take to prepare Rabri?,10 minutes
What is the preparation time for Rabri?,10 minutes
How many minutes does it take to prepare Rabri?,10 minutes
How long does it take to cook Rabri?,45 minutes
What is the cooking time for Rabri?,45 minutes
How many minutes does it take to cook Rabri?,45 minutes
What is the origin of Rabri?,Uttar Pradesh
In which state was Rabri created?,Uttar Pradesh
Which state does Rabri belong to?,Uttar Pradesh
In which region is Rabri prepared?,North
What region does Rabri belong to?,North
In which region is Rabri popular?,North
What is the flavor profile of Rabri?,sweet
How does Rabri taste?,sweet
What flavor does Rabri have?,sweet
What is the food category of Rabri?,dessert
In which course is Rabri typically served?,dessert
Is Rabri a main dish or a side dish?,dessert
What ingredients are needed to prepare Sheera?,"Semolina, ghee, nuts, milk"
What are the required ingredients to make Sheera?,"Semolina, ghee, nuts, milk"
What is Sheera made of?,"Semolina, ghee, nuts, milk"
What is the dietary type of Sheera?,vegetarian
Is Sheera vegetarian or non-vegetarian?,vegetarian
What diet category does Sheera belong to?,vegetarian
How long does it take to prepare Sheera?,10 minutes
What is the preparation time for Sheera?,10 minutes
How many minutes does it take to prepare Sheera?,10 minutes
How long does it take to cook Sheera?,25 minutes
What is the cooking time for Sheera?,25 minutes
How many minutes does it take to cook Sheera?,25 minutes
What is the origin of Sheera?,Maharashtra
In which state was Sheera created?,Maharashtra
Which state does Sheera belong to?,Maharashtra
In which region is Sheera prepared?,West
What region does Sheera belong to?,West
In which region is Sheera popular?,West
What is the flavor profile of Sheera?,sweet
How does Sheera taste?,sweet
What flavor does Sheera have?,sweet
What is the food category of Sheera?,dessert
In which course is Sheera typically served?,dessert
Is Sheera a main dish or a side dish?,dessert
What ingredients are needed to prepare Singori?,"Khoa, coconut, molu leaf"
What are the required ingredients to make Singori?,"Khoa, coconut, molu leaf"
What is Singori made of?,"Khoa, coconut, molu leaf"
What is the dietary type of Singori?,vegetarian
Is Singori vegetarian or non-vegetarian?,vegetarian
What diet category does Singori belong to?,vegetarian
How long does it take to prepare Singori?,10 minutes
What is the preparation time for Singori?,10 minutes
How many minutes does it take to prepare Singori?,10 minutes
How long does it take to cook Singori?,20 minutes
What is the cooking time for Singori?,20 minutes
How many minutes does it take to cook Singori?,20 minutes
What is the origin of Singori?,Uttarakhand
In which state was Singori created?,Uttarakhand
Which state does Singori belong to?,Uttarakhand
In which region is Singori prepared?,North
What region does Singori belong to?,North
In which region is Singori popular?,North
What is the flavor profile of Singori?,sweet
How does Singori taste?,sweet
What flavor does Singori have?,sweet
What is the food category of Singori?,dessert
In which course is Singori typically served?,dessert
Is Singori a main dish or a side dish?,dessert
What ingredients are needed to prepare Sohan halwa?,"Corn flour, ghee, dry fruits"
What are the required ingredients to make Sohan halwa?,"Corn flour, ghee, dry fruits"
What is Sohan halwa made of?,"Corn flour, ghee, dry fruits"
What is the dietary type of Sohan halwa?,vegetarian
Is Sohan halwa vegetarian or non-vegetarian?,vegetarian
What diet category does Sohan halwa belong to?,vegetarian
How long does it take to prepare Sohan halwa?,10 minutes
What is the preparation time for Sohan halwa?,10 minutes
How many minutes does it take to prepare Sohan halwa?,10 minutes
How long does it take to cook Sohan halwa?,60 minutes
What is the cooking time for Sohan halwa?,60 minutes
How many minutes does it take to cook Sohan halwa?,60 minutes
What is the origin of Sohan halwa?,Uttar Pradesh
In which state was Sohan halwa created?,Uttar Pradesh
Which state does Sohan halwa belong to?,Uttar Pradesh
In which region is Sohan halwa prepared?,North
What region does Sohan halwa belong to?,North
In which region is Sohan halwa popular?,North
What is the flavor profile of Sohan halwa?,sweet
How does Sohan halwa taste?,sweet
What flavor does Sohan halwa have?,sweet
What is the food category of Sohan halwa?,dessert
In which course is Sohan halwa typically served?,dessert
Is Sohan halwa a main dish or a side dish?,dessert
What ingredients are needed to prepare Sohan papdi?,"Gram flour, ghee, sugar, milk, cardamom"
What are the required ingredients to make Sohan papdi?,"Gram flour, ghee, sugar, milk, cardamom"
What is Sohan papdi made of?,"Gram flour, ghee, sugar, milk, cardamom"
What is the dietary type of Sohan papdi?,vegetarian
Is Sohan papdi vegetarian or non-vegetarian?,vegetarian
What diet category does Sohan papdi belong to?,vegetarian
How long does it take to prepare Sohan papdi?,-1 minutes
What is the preparation time for Sohan papdi?,-1 minutes
How many minutes does it take to prepare Sohan papdi?,-1 minutes
How long does it take to cook Sohan papdi?,60 minutes
What is the cooking time for Sohan papdi?,60 minutes
How many minutes does it take to cook Sohan papdi?,60 minutes
What is the origin of Sohan papdi?,Maharashtra
In which state was Sohan papdi created?,Maharashtra
Which state does Sohan papdi belong to?,Maharashtra
In which region is Sohan papdi prepared?,West
What region does Sohan papdi belong to?,West
In which region is Sohan papdi popular?,West
What is the flavor profile of Sohan papdi?,sweet
How does Sohan papdi taste?,sweet
What flavor does Sohan papdi have?,sweet
What is the food category of Sohan papdi?,dessert
In which course is Sohan papdi typically served?,dessert
Is Sohan papdi a main dish or a side dish?,dessert
What ingredients are needed to prepare Chhena jalebi?,"Chhena, sugar, ghee"
What are the required ingredients to make Chhena jalebi?,"Chhena, sugar, ghee"
What is Chhena jalebi made of?,"Chhena, sugar, ghee"
What is the dietary type of Chhena jalebi?,vegetarian
Is Chhena jalebi vegetarian or non-vegetarian?,vegetarian
What diet category does Chhena jalebi belong to?,vegetarian
How long does it take to prepare Chhena jalebi?,10 minutes
What is the preparation time for Chhena jalebi?,10 minutes
How many minutes does it take to prepare Chhena jalebi?,10 minutes
How long does it take to cook Chhena jalebi?,50 minutes
What is the cooking time for Chhena jalebi?,50 minutes
How many minutes does it take to cook Chhena jalebi?,50 minutes
What is the origin of Chhena jalebi?,Odisha
In which state was Chhena jalebi created?,Odisha
Which state does Chhena jalebi belong to?,Odisha
In which region is Chhena jalebi prepared?,East
What region does Chhena jalebi belong to?,East
In which region is Chhena jalebi popular?,East
What is the flavor profile of Chhena jalebi?,sweet
How does Chhena jalebi taste?,sweet
What flavor does Chhena jalebi have?,sweet
What is the food category of Chhena jalebi?,dessert
In which course is Chhena jalebi typically served?,dessert
Is Chhena jalebi a main dish or a side dish?,dessert
What ingredients are needed to prepare Chhena kheeri?,"Chhena, sugar, milk"
What are the required ingredients to make Chhena kheeri?,"Chhena, sugar, milk"
What is Chhena kheeri made of?,"Chhena, sugar, milk"
What is the dietary type of Chhena kheeri?,vegetarian
Is Chhena kheeri vegetarian or non-vegetarian?,vegetarian
What diet category does Chhena kheeri belong to?,vegetarian
How long does it take to prepare Chhena kheeri?,-1 minutes
What is the preparation time for Chhena kheeri?,-1 minutes
How many minutes does it take to prepare Chhena kheeri?,-1 minutes
How long does it take to cook Chhena kheeri?,60 minutes
What is the cooking time for Chhena kheeri?,60 minutes
How many minutes does it take to cook Chhena kheeri?,60 minutes
What is the origin of Chhena kheeri?,Odisha
In which state was Chhena kheeri created?,Odisha
Which state does Chhena kheeri belong to?,Odisha
In which region is Chhena kheeri prepared?,East
What region does Chhena kheeri belong to?,East
In which region is Chhena kheeri popular?,East
What is the flavor profile of Chhena kheeri?,sweet
How does Chhena kheeri taste?,sweet
What flavor does Chhena kheeri have?,sweet
What is the food category of Chhena kheeri?,dessert
In which course is Chhena kheeri typically served?,dessert
Is Chhena kheeri a main dish or a side dish?,dessert
What ingredients are needed to prepare Chhena poda?,"Sugar, chenna cheese"
What are the required ingredients to make Chhena poda?,"Sugar, chenna cheese"
What is Chhena poda made of?,"Sugar, chenna cheese"
What is the dietary type of Chhena poda?,vegetarian
Is Chhena poda vegetarian or non-vegetarian?,vegetarian
What diet category does Chhena poda belong to?,vegetarian
How long does it take to prepare Chhena poda?,10 minutes
What is the preparation time for Chhena poda?,10 minutes
How many minutes does it take to prepare Chhena poda?,10 minutes
How long does it take to cook Chhena poda?,45 minutes
What is the cooking time for Chhena poda?,45 minutes
How many minutes does it take to cook Chhena poda?,45 minutes
What is the origin of Chhena poda?,Odisha
In which state was Chhena poda created?,Odisha
Which state does Chhena poda belong to?,Odisha
In which region is Chhena poda prepared?,East
What region does Chhena poda belong to?,East
In which region is Chhena poda popular?,East
What is the flavor profile of Chhena poda?,sweet
How does Chhena poda taste?,sweet
What flavor does Chhena poda have?,sweet
What is the food category of Chhena poda?,dessert
In which course is Chhena poda typically served?,dessert
Is Chhena poda a main dish or a side dish?,dessert
What ingredients are needed to prepare Cham cham?,"Flour, cream, sugar, saffron, lemon juice, coconut flakes"
What are the required ingredients to make Cham cham?,"Flour, cream, sugar, saffron, lemon juice, coconut flakes"
What is Cham cham made of?,"Flour, cream, sugar, saffron, lemon juice, coconut flakes"
What is the dietary type of Cham cham?,vegetarian
Is Cham cham vegetarian or non-vegetarian?,vegetarian
What diet category does Cham cham belong to?,vegetarian
How long does it take to prepare Cham cham?,40 minutes
What is the preparation time for Cham cham?,40 minutes
How many minutes does it take to prepare Cham cham?,40 minutes
How long does it take to cook Cham cham?,60 minutes
What is the cooking time for Cham cham?,60 minutes
How many minutes does it take to cook Cham cham?,60 minutes
What is the origin of Cham cham?,West Bengal
In which state was Cham cham created?,West Bengal
Which state does Cham cham belong to?,West Bengal
In which region is Cham cham prepared?,East
What region does Cham cham belong to?,East
In which region is Cham cham popular?,East
What is the flavor profile of Cham cham?,sweet
How does Cham cham taste?,sweet
What flavor does Cham cham have?,sweet
What is the food category of Cham cham?,dessert
In which course is Cham cham typically served?,dessert
Is Cham cham a main dish or a side dish?,dessert
What ingredients are needed to prepare Kheer sagar?,"Chenna, condensed milk, sugar, saffron, cardamom"
What are the required ingredients to make Kheer sagar?,"Chenna, condensed milk, sugar, saffron, cardamom"
What is Kheer sagar made of?,"Chenna, condensed milk, sugar, saffron, cardamom"
What is the dietary type of Kheer sagar?,vegetarian
Is Kheer sagar vegetarian or non-vegetarian?,vegetarian
What diet category does Kheer sagar belong to?,vegetarian
How long does it take to prepare Kheer sagar?,25 minutes
What is the preparation time for Kheer sagar?,25 minutes
How many minutes does it take to prepare Kheer sagar?,25 minutes
How long does it take to cook Kheer sagar?,60 minutes
What is the cooking time for Kheer sagar?,60 minutes
How many minutes does it take to cook Kheer sagar?,60 minutes
What is the origin of Kheer sagar?,Odisha
In which state was Kheer sagar created?,Odisha
Which state does Kheer sagar belong to?,Odisha
In which region is Kheer sagar prepared?,East
What region does Kheer sagar belong to?,East
In which region is Kheer sagar popular?,East
What is the flavor profile of Kheer sagar?,sweet
How does Kheer sagar taste?,sweet
What flavor does Kheer sagar have?,sweet
What is the food category of Kheer sagar?,dessert
In which course is Kheer sagar typically served?,dessert
Is Kheer sagar a main dish or a side dish?,dessert
What ingredients are needed to prepare Ledikeni?,"Chhena, sugar, ghee"
What are the required ingredients to make Ledikeni?,"Chhena, sugar, ghee"
What is Ledikeni made of?,"Chhena, sugar, ghee"
What is the dietary type of Ledikeni?,vegetarian
Is Ledikeni vegetarian or non-vegetarian?,vegetarian
What diet category does Ledikeni belong to?,vegetarian
How long does it take to prepare Ledikeni?,45 minutes
What is the preparation time for Ledikeni?,45 minutes
How many minutes does it take to prepare Ledikeni?,45 minutes
How long does it take to cook Ledikeni?,45 minutes
What is the cooking time for Ledikeni?,45 minutes
How many minutes does it take to cook Ledikeni?,45 minutes
What is the origin of Ledikeni?,West Bengal
In which state was Ledikeni created?,West Bengal
Which state does Ledikeni belong to?,West Bengal
In which region is Ledikeni prepared?,East
What region does Ledikeni belong to?,East
In which region is Ledikeni popular?,East
What is the flavor profile of Ledikeni?,sweet
How does Ledikeni taste?,sweet
